410.000,225.000,0.000
410.749,225.000,-0.036
411.498,224.999,-0.072
412.246,224.997,-0.106
413.070,224.995,-0.143
413.819,224.993,-0.176
414.567,224.990,-0.206
415.316,224.987,-0.235
416.140,224.983,-0.264
416.888,224.980,-0.288
417.637,224.975,-0.310
418.385,224.971,-0.329
419.134,224.967,-0.345
419.882,224.962,-0.360
420.631,224.957,-0.371
421.379,224.952,-0.380
422.128,224.947,-0.387
422.951,224.941,-0.391
423.699,224.936,-0.393
424.448,224.931,-0.392
425.196,224.926,-0.390
426.019,224.921,-0.385
426.767,224.916,-0.378
427.515,224.911,-0.371
428.263,224.906,-0.362
429.086,224.901,-0.350
429.834,224.897,-0.339
430.583,224.892,-0.327
431.331,224.888,-0.315
432.154,224.884,-0.300
432.902,224.880,-0.287
433.650,224.877,-0.274
434.398,224.873,-0.260
435.221,224.870,-0.246
435.969,224.867,-0.233
436.717,224.864,-0.221
437.465,224.861,-0.210
438.288,224.858,-0.198
439.037,224.856,-0.188
439.785,224.853,-0.178
440.533,224.851,-0.170
441.356,224.849,-0.162
442.104,224.847,-0.155
442.852,224.845,-0.150
443.601,224.843,-0.145
444.424,224.841,-0.141
445.172,224.839,-0.139
445.920,224.837,-0.137
446.669,224.836,-0.136
447.492,224.834,-0.136
448.240,224.832,-0.137
448.988,224.830,-0.138
449.737,224.828,-0.140
450.560,224.826,-0.143
451.308,224.824,-0.146
452.057,224.822,-0.150
452.805,224.820,-0.154
453.628,224.818,-0.159
454.376,224.816,-0.164
455.125,224.814,-0.168
455.873,224.811,-0.173
456.696,224.809,-0.179
457.445,224.806,-0.183
458.193,224.804,-0.188
458.941,224.801,-0.193
459.765,224.799,-0.198
460.513,224.796,-0.202
461.261,224.793,-0.206
462.010,224.791,-0.210
462.833,224.787,-0.214
463.581,224.785,-0.217
464.330,224.782,-0.220
465.078,224.779,-0.223
465.901,224.776,-0.225
466.649,224.773,-0.227
467.398,224.770,-0.228
468.146,224.767,-0.229
468.894,224.764,-0.230
469.718,224.760,-0.231
470.466,224.757,-0.231
471.214,224.754,-0.231
471.962,224.751,-0.230
472.786,224.748,-0.229
473.534,224.745,-0.228
474.282,224.742,-0.227
475.030,224.739,-0.226
475.854,224.736,-0.224
476.602,224.733,-0.223
477.350,224.730,-0.221
478.098,224.727,-0.219
478.921,224.724,-0.217
479.670,224.721,-0.216
480.418,224.719,-0.214
481.166,224.716,-0.212
481.989,224.713,-0.210
482.738,224.710,-0.208
483.486,224.707,-0.207
484.234,224.705,-0.205
485.057,224.702,-0.204
485.806,224.699,-0.202
486.554,224.696,-0.201
487.302,224.694,-0.200
488.125,224.691,-0.199
488.874,224.688,-0.198
489.622,224.686,-0.197
490.370,224.683,-0.197
491.193,224.680,-0.196
491.942,224.678,-0.196
492.690,224.675,-0.196
493.438,224.673,-0.196
494.261,224.670,-0.196
495.010,224.667,-0.196
495.758,224.665,-0.196
496.506,224.662,-0.196
497.329,224.659,-0.197
498.078,224.657,-0.197
